species_code,fia_spcd,equation_number,a1,a2,a3,a4,a5,dbh_bound,fcw_bound
FR,12,1,0.6564,0.8403,,0.0792,,,34
JU,68,1,1.2359,1.2962,,0.0545,,,33
PI,94,1,0.3789,0.8658,,0.0878,,,30
PU,132,1,-0.1211,1.2319,,0.1212,,,34
SP,110,1,-2.2564,1.3004,,0.1031,-0.0562,,34
SA,111,1,-6.9659,2.1192,-0.0333,0.0587,-0.0959,30,
SR,110,1,-2.2564,1.3004,,0.1031,-0.0562,,34
LL,121,1,-12.2105,1.3376,,0.1237,-0.2759,,50
TM,126,1,-0.9442,1.4531,,0.0543,-0.1144,,34
PP,126,1,-0.9442,1.4531,,0.0543,-0.1144,,34
PD,128,1,-8.7711,3.7252,-0.1063,,,18,
WP,129,1,0.3914,0.9923,,0.1080,,,45
LP,131,1,-0.8277,1.3946,,0.0768,,,55
VP,132,1,-0.1211,1.2319,,0.1212,,,34
BY,221,1,-1.0183,0.8856,,0.1162,,,37
PC,221,1,-1.0183,0.8856,,0.1162,,,37
HM,261,1,6.1924,1.4491,-0.0178,,-0.0341,40
FM,318,1,4.9399,1.0727,,0.1096,-0.0493,,54
BE,313,1,6.4741,1.0778,,0.0719,-0.0637,,57
RM,316,1,2.7563,1.4212,0.0143,0.0993,,50
SV,317,1,3.3576,1.1312,,0.1011,-0.1730,,45
SM,318,1,4.9399,1.0727,,0.1096,-0.0493,,54
BU,407,1,4.5453,1.3721,,0.0430,,,54
BB,373,1,11.6634,1.0028,,,,,68
SB,372,1,4.6725,1.2968,,0.0787,,,54
AH,391,1,0.9219,1.6303,,0.1150,-0.1113,,42
HI,407,1,4.5453,1.3721,,0.0430,,,54
CA,931,1,4.6311,1.0108,,0.0564,,,29
HB,462,1,7.1043,1.3041,,0.0456,,,51
RD,491,1,2.9646,1.9917,,0.0707,,,36
DW,491,1,2.9646,1.9917,,0.0707,,,36
PS,521,1,3.5393,1.3939,,0.0625,,,36
AB,531,1,3.9361,1.1500,,0.1237,-0.0691,,80
AS,544,1,2.9672,1.3066,,0.0585,,,61
WA,541,1,1.7625,1.3413,,0.0957,,,62
BA,543,1,5.2824,1.1184,,,,,34
GA,544,1,2.9672,1.3066,,0.0585,,,61
HL,552,1,4.1971,1.5567,,0.0880,,,46
LB,653,1,8.2119,0.9708,,,,,41
HA,491,1,2.9646,1.9917,,0.0707,,,36
HY,591,1,4.5803,1.0747,,0.0661,,,31
BN,602,1,3.6031,1.1472,,0.1224,,,37
WN,602,1,3.6031,1.1472,,0.1224,,,37
SU,611,1,1.8853,1.1625,,0.0656,,,50
YP,621,1,3.3543,1.1627,,0.0857,,,61
MG,653,1,8.2119,0.9708,,,,,41
CT,651,1,4.1711,1.6275,,,,,39
MS,653,1,8.2119,0.9708,,,,,41
MV,653,1,8.2119,0.9708,,,,,41
ML,653,1,8.2119,0.9708,,,,,41
AP,761,2,4.102718,1.396006,1.077474,,,,52
MB,682,1,13.3255,1.0735,,,,,46
WT,691,1,5.3409,0.7499,,0.1047,,,37
BG,693,1,5.5037,1.0567,,0.0880,0.0610,,50
TS,694,1,1.3564,1.0991,,0.1243,,,41
HH,701,1,7.8084,0.8129,,0.0941,-0.0817,,39
SD,711,1,7.9750,0.8303,,0.0423,-0.0706 ,,36
RA,721,1,4.2756,1.0773,,0.1526,0.1650,,25
SY,731,1,-1.3973,1.3756,,0.1835,,,66
CW,742,1,3.4375,1.4092,,,,,80
BT,743,1,0.6847,1.1050,,0.1420,-0.0265,,43
BC,762,1,3.0237,1.1119,,0.1112,-0.0493,,52
WO,802,1,3.2375,1.5234,,0.0455,-0.0324,,69
SO,806,1,0.5656,1.6766,,0.0739,,,66
SK,812,1,2.1517,1.6064,,0.0609,,,56
CB,812,1,2.1517,1.6064,,0.0609,,,56
TO,819,1,5.8858,1.4935,,,,,29
LK,820,1,6.3149,1.6455,,,,,54
OV,823,1,1.7827,1.6549,,0.0343,,,61
BJ,824,1,0.5443,1.4882,,0.0565,,,37
SN,832,1,2.1480,1.6928,-0.0176,0.0569,,50
CK,826,1,0.5189,1.4134,,0.1365,-0.0806,,45
WK,827,1,1.6349,1.5443,,0.0637,-0.0764,,57
CO,832,1,2.1480,1.6928,-0.0176,0.0569,,50
RO,833,1,2.8908,1.4077,,0.0643,,,82
QS,812,1,2.1517,1.6064,,0.0609,,,56
PO,835,1,1.6125,1.6669,,0.0536,,,45
BO,837,1,2.8974,1.3697,,0.0671,,,52
LO,838,1,5.6694,1.6402,,,,,66
BK,901,1,3.0012,0.8165,,0.1395,,,48
WI,972,1,1.7296,2.0732,,0.0590,-0.0869,,50
SS,931,1,4.6311,1.0108,,0.0564,,,29
BD,951,1,1.6871,1.2110,,0.1194,-0.0264,,61
EL,972,1,1.7296,2.0732,,0.0590,-0.0869,,50
WE,971,1,4.3649,1.6612,,0.0643,,,40
AE,972,1,1.7296,2.0732,,0.0590,-0.0869,,50
RL,975,1,9.0023,1.3933,,,0.0785,,49
OS,068,1,1.2359,1.2962,,0.0545,,,33
OH,931,1,4.6311,1.0108,,0.0564,,,29
OT,316,1,2.7563,1.4212,0.0143,0.0993,,,50
